carrier,booking_class,avg_sold
AL1,Y5,39
AL1,Y4,105
AL1,Y3,12
AL1,Y2,28
AL1,Y1,50
AL1,Y0,52
AL2,Y5,39
AL2,Y4,105
AL2,Y3,12
AL2,Y2,28
AL2,Y1,50
AL2,Y0,52
