carrier,booking_class,avg_sold
AL1,Y5,56
AL1,Y4,129
AL1,Y3,4
AL1,Y2,24
AL1,Y1,43
AL1,Y0,45
AL2,Y5,56
AL2,Y4,130
AL2,Y3,4
AL2,Y2,24
AL2,Y1,43
AL2,Y0,45
