carrier,booking_class,avg_sold
AL1,Y5,24.78
AL1,Y4,101.66
AL1,Y3,16.84
AL1,Y2,29.13
AL1,Y1,52.20
AL1,Y0,54.82
AL2,Y5,25.10
AL2,Y4,101.84
AL2,Y3,16.66
AL2,Y2,28.99
AL2,Y1,52.17
AL2,Y0,54.66
