carrier,class,rrd,avg_business,avg_leisure
AL1,Y0,63,0,0
AL1,Y0,56,3.37,0
AL1,Y0,49,6.15,0
AL1,Y0,42,8.38,0
AL1,Y0,35,11.16,0
AL1,Y0,31,12.86,0
AL1,Y0,28,14.04,0
AL1,Y0,24,15.72,0
AL1,Y0,21,17.4,0
AL1,Y0,17,19.69,0
AL1,Y0,14,22.47,0
AL1,Y0,10,27.92,0
AL1,Y0,7,34.5,0
AL1,Y0,5,38.91,0
AL1,Y0,3,43.27,0.01
AL1,Y0,1,52.48,0.02
AL1,Y0,0,54.79,0.02
AL1,Y1,63,0,0
AL1,Y1,56,3.07,0
AL1,Y1,49,5.66,0
AL1,Y1,42,7.77,0
AL1,Y1,35,10.36,0
AL1,Y1,31,11.95,0
AL1,Y1,28,13.04,0
AL1,Y1,24,14.62,0
AL1,Y1,21,16.22,0.01
AL1,Y1,17,18.32,0.02
AL1,Y1,14,20.89,0.03
AL1,Y1,10,25.95,0.07
AL1,Y1,7,32.07,0.11
AL1,Y1,5,36.16,0.15
AL1,Y1,3,40.06,0.27
AL1,Y1,1,48.78,0.8
AL1,Y1,0,51.08,1.12
AL1,Y2,63,0,0
AL1,Y2,56,1.77,0.07
AL1,Y2,49,3.22,0.09
AL1,Y2,42,4.39,0.1
AL1,Y2,35,5.84,0.12
AL1,Y2,31,6.74,0.13
AL1,Y2,28,7.35,0.14
AL1,Y2,24,8.27,0.17
AL1,Y2,21,9.19,0.24
AL1,Y2,17,10.37,0.38
AL1,Y2,14,11.85,0.57
AL1,Y2,10,15.19,0.96
AL1,Y2,7,19.07,1.18
AL1,Y2,5,21.86,2.19
AL1,Y2,3,24.55,4.55
AL1,Y2,1,24.55,4.55
AL1,Y2,0,24.55,4.55
AL1,Y3,63,0,0
AL1,Y3,56,0.21,1.81
AL1,Y3,49,0.38,2.25
AL1,Y3,42,0.52,2.7
AL1,Y3,35,0.69,3.21
AL1,Y3,31,0.8,3.63
AL1,Y3,28,0.88,3.97
AL1,Y3,24,0.99,4.89
AL1,Y3,21,1.09,5.97
AL1,Y3,17,1.23,6.91
AL1,Y3,14,1.41,7.69
AL1,Y3,10,1.78,12.02
AL1,Y3,7,2.21,14.62
AL1,Y3,5,2.21,14.62
AL1,Y3,3,2.21,14.62
AL1,Y3,1,2.21,14.62
AL1,Y3,0,2.21,14.62
AL1,Y4,63,0,0
AL1,Y4,56,0.44,21.07
AL1,Y4,49,0.81,31.44
AL1,Y4,42,1.11,43.23
AL1,Y4,35,1.46,54.76
AL1,Y4,31,1.68,62.28
AL1,Y4,28,1.84,67.3
AL1,Y4,24,2.05,76.68
AL1,Y4,21,2.25,85.92
AL1,Y4,17,2.5,93.15
AL1,Y4,14,2.79,98.87
AL1,Y4,10,2.79,98.87
AL1,Y4,7,2.79,98.87
AL1,Y4,5,2.79,98.87
AL1,Y4,3,2.79,98.87
AL1,Y4,1,2.79,98.87
AL1,Y4,0,2.79,98.87
AL1,Y5,63,0,0
AL1,Y5,56,0,4.31
AL1,Y5,49,0,6.97
AL1,Y5,42,0,10.16
AL1,Y5,35,0,13.71
AL1,Y5,31,0,16.28
AL1,Y5,28,0,18.03
AL1,Y5,24,0,21.41
AL1,Y5,21,0,24.77
AL1,Y5,17,0,24.77
AL1,Y5,14,0,24.77
AL1,Y5,10,0,24.77
AL1,Y5,7,0,24.77
AL1,Y5,5,0,24.77
AL1,Y5,3,0,24.77
AL1,Y5,1,0,24.77
AL1,Y5,0,0,24.77
