carrier,booking_class,avg_sold
AL1,Y5,41
AL1,Y4,109
AL1,Y3,11
AL1,Y2,27
AL1,Y1,48
AL1,Y0,50
AL2,Y5,40
AL2,Y4,109
AL2,Y3,11
AL2,Y2,27
AL2,Y1,49
AL2,Y0,50
