carrier,class,rrd,avg_business,avg_leisure
AL1,Y0,63,0,0
AL1,Y0,56,3.36,0
AL1,Y0,49,6.14,0
AL1,Y0,42,8.37,0
AL1,Y0,35,11.15,0
AL1,Y0,31,12.85,0
AL1,Y0,28,14.03,0
AL1,Y0,24,15.71,0
AL1,Y0,21,17.39,0
AL1,Y0,17,19.68,0
AL1,Y0,14,22.44,0
AL1,Y0,10,27.76,0
AL1,Y0,7,33.85,0
AL1,Y0,5,37.62,0
AL1,Y0,3,41.07,0
AL1,Y0,1,47.86,0
AL1,Y0,0,49.62,0
AL1,Y1,63,0,0
AL1,Y1,56,3.07,0
AL1,Y1,49,5.66,0
AL1,Y1,42,7.77,0
AL1,Y1,35,10.36,0
AL1,Y1,31,11.95,0
AL1,Y1,28,13.04,0
AL1,Y1,24,14.62,0
AL1,Y1,21,16.22,0
AL1,Y1,17,18.31,0
AL1,Y1,14,20.86,0
AL1,Y1,10,25.82,0.01
AL1,Y1,7,31.6,0.01
AL1,Y1,5,35.28,0.03
AL1,Y1,3,38.63,0.07
AL1,Y1,1,45.83,0.49
AL1,Y1,0,47.71,0.74
AL1,Y2,63,0,0
AL1,Y2,56,1.75,0
AL1,Y2,49,3.19,0
AL1,Y2,42,4.35,0
AL1,Y2,35,5.79,0
AL1,Y2,31,6.68,0
AL1,Y2,28,7.29,0
AL1,Y2,24,8.2,0
AL1,Y2,21,9.1,0
AL1,Y2,17,10.24,0
AL1,Y2,14,11.66,0
AL1,Y2,10,14.96,0.14
AL1,Y2,7,18.72,0.22
AL1,Y2,5,21.37,1.18
AL1,Y2,3,23.78,3.32
AL1,Y2,1,23.78,3.32
AL1,Y2,0,23.78,3.32
AL1,Y3,63,0,0
AL1,Y3,56,0.21,0.17
AL1,Y3,49,0.38,0.24
AL1,Y3,42,0.52,0.34
AL1,Y3,35,0.69,0.44
AL1,Y3,31,0.8,0.5
AL1,Y3,28,0.88,0.54
AL1,Y3,24,0.99,0.62
AL1,Y3,21,1.09,0.71
AL1,Y3,17,1.23,0.83
AL1,Y3,14,1.42,0.92
AL1,Y3,10,1.82,5.75
AL1,Y3,7,2.28,8.63
AL1,Y3,5,2.28,8.63
AL1,Y3,3,2.28,8.63
AL1,Y3,1,2.28,8.63
AL1,Y3,0,2.28,8.63
AL1,Y4,63,0,0
AL1,Y4,56,0.46,22.06
AL1,Y4,49,0.84,32.44
AL1,Y4,42,1.15,44.19
AL1,Y4,35,1.52,55.86
AL1,Y4,31,1.75,63.7
AL1,Y4,28,1.91,68.98
AL1,Y4,24,2.14,79.32
AL1,Y4,21,2.36,89.83
AL1,Y4,17,2.66,98.63
AL1,Y4,14,3.03,105.85
AL1,Y4,10,3.03,105.85
AL1,Y4,7,3.03,105.85
AL1,Y4,5,3.03,105.85
AL1,Y4,3,3.03,105.85
AL1,Y4,1,3.03,105.85
AL1,Y4,0,3.03,105.85
AL1,Y5,63,0,0
AL1,Y5,56,0,10.06
AL1,Y5,49,0,14.75
AL1,Y5,42,0,19.97
AL1,Y5,35,0,25.26
AL1,Y5,31,0,28.85
AL1,Y5,28,0,31.24
AL1,Y5,24,0,35.96
AL1,Y5,21,0,40.63
AL1,Y5,17,0,40.63
AL1,Y5,14,0,40.63
AL1,Y5,10,0,40.63
AL1,Y5,7,0,40.63
AL1,Y5,5,0,40.63
AL1,Y5,3,0,40.63
AL1,Y5,1,0,40.63
AL1,Y5,0,0,40.63
