carrier,class,rrd,avg_business,avg_leisure
AL2,Y4,0,2.8,107.48
AL2,Y5,63,0,0
AL2,Y5,56,0,4.95
AL2,Y5,49,0,7.52
AL2,Y5,42,0,10.21
AL2,Y5,35,0,12.73
AL2,Y5,31,0,14.49
AL2,Y5,28,0,15.66
AL2,Y5,24,0,17.7
AL2,Y5,21,0,19.69
AL2,Y5,17,0,19.69
AL2,Y5,14,0,19.69
AL2,Y5,10,0,19.69
AL2,Y5,7,0,19.69
AL2,Y5,5,0,19.69
AL2,Y5,3,0,19.69
AL2,Y5,1,0,19.69
AL2,Y5,0,0,19.69
