carrier,booking_class,avg_sold
AL1,Y5,19.69
AL1,Y4,110.29
AL1,Y3,18.06
AL1,Y2,32.14
AL1,Y1,56.12
AL1,Y0,58.86
AL2,Y5,19.86
AL2,Y4,110.59
AL2,Y3,18.02
AL2,Y2,32.06
AL2,Y1,55.96
AL2,Y0,58.85
