carrier,class,rrd,avg_business,avg_leisure
AL1,Y0,63,0,0
AL1,Y0,56,1.66,0
AL1,Y0,49,3.1,0
AL1,Y0,42,4.29,0
AL1,Y0,35,5.69,0
AL1,Y0,31,6.6,0
AL1,Y0,28,7.26,0
AL1,Y0,24,8.16,0
AL1,Y0,21,9.06,0
AL1,Y0,17,10.21,0
AL1,Y0,14,11.61,0
AL1,Y0,10,14.32,0
AL1,Y0,7,17.55,0
AL1,Y0,5,19.74,0
AL1,Y0,3,21.88,0
AL1,Y0,1,26.71,0
AL1,Y0,0,28.18,0
AL1,Y1,63,0,0
AL1,Y1,56,1.61,0
AL1,Y1,49,2.97,0
AL1,Y1,42,4.05,0
AL1,Y1,35,5.4,0
AL1,Y1,31,6.24,0
AL1,Y1,28,6.84,0
AL1,Y1,24,7.69,0
AL1,Y1,21,8.52,0
AL1,Y1,17,9.59,0
AL1,Y1,14,10.9,0
AL1,Y1,10,13.41,0
AL1,Y1,7,16.38,0
AL1,Y1,5,18.43,0.01
AL1,Y1,3,20.45,0.03
AL1,Y1,1,25.1,0.32
AL1,Y1,0,26.56,0.53
AL1,Y2,63,0,0
AL1,Y2,56,0.88,0
AL1,Y2,49,1.61,0
AL1,Y2,42,2.21,0
AL1,Y2,35,2.95,0
AL1,Y2,31,3.44,0
AL1,Y2,28,3.77,0
AL1,Y2,24,4.24,0
AL1,Y2,21,4.71,0
AL1,Y2,17,5.31,0
AL1,Y2,14,6.04,0
AL1,Y2,10,7.73,0.06
AL1,Y2,7,9.67,0.11
AL1,Y2,5,11.16,0.68
AL1,Y2,3,12.61,1.93
AL1,Y2,1,12.61,1.93
AL1,Y2,0,12.61,1.93
AL1,Y3,63,0,0
AL1,Y3,56,0.11,0.1
AL1,Y3,49,0.2,0.14
AL1,Y3,42,0.27,0.18
AL1,Y3,35,0.36,0.23
AL1,Y3,31,0.42,0.26
AL1,Y3,28,0.46,0.28
AL1,Y3,24,0.52,0.32
AL1,Y3,21,0.58,0.37
AL1,Y3,17,0.65,0.42
AL1,Y3,14,0.74,0.47
AL1,Y3,10,0.94,2.95
AL1,Y3,7,1.17,4.44
AL1,Y3,5,1.17,4.44
AL1,Y3,3,1.17,4.44
AL1,Y3,1,1.17,4.44
AL1,Y3,0,1.17,4.44
AL1,Y4,63,0,0
AL1,Y4,56,0.24,11.13
AL1,Y4,49,0.44,16.44
AL1,Y4,42,0.61,22.28
AL1,Y4,35,0.82,28.12
AL1,Y4,31,0.94,32.09
AL1,Y4,28,1.02,34.8
AL1,Y4,24,1.14,40.03
AL1,Y4,21,1.26,45.23
AL1,Y4,17,1.41,49.64
AL1,Y4,14,1.59,53.34
AL1,Y4,10,1.59,53.34
AL1,Y4,7,1.59,53.34
AL1,Y4,5,1.59,53.34
AL1,Y4,3,1.59,53.34
AL1,Y4,1,1.59,53.34
AL1,Y4,0,1.59,53.34
AL1,Y5,63,0,0
AL1,Y5,56,0,5.04
AL1,Y5,49,0,7.43
AL1,Y5,42,0,10.1
AL1,Y5,35,0,12.82
AL1,Y5,31,0,14.61
AL1,Y5,28,0,15.84
AL1,Y5,24,0,18.18
AL1,Y5,21,0,20.5
AL1,Y5,17,0,20.5
AL1,Y5,14,0,20.5
AL1,Y5,10,0,20.5
AL1,Y5,7,0,20.5
AL1,Y5,5,0,20.5
AL1,Y5,3,0,20.5
AL1,Y5,1,0,20.5
AL1,Y5,0,0,20.5
