carrier,booking_class,avg_sold
AL1,Y5,20.50
AL1,Y4,54.92
AL1,Y3,5.63
AL1,Y2,14.54
AL1,Y1,27.11
AL1,Y0,28.18
AL2,Y5,20.28
AL2,Y4,54.67
AL2,Y3,5.56
AL2,Y2,14.53
AL2,Y1,27.15
AL2,Y0,28.20
