carrier,booking_class,avg_sold
AL1,Y5,21
AL1,Y4,55
AL1,Y3,6
AL1,Y2,15
AL1,Y1,27
AL1,Y0,28
AL2,Y5,20
AL2,Y4,55
AL2,Y3,6
AL2,Y2,15
AL2,Y1,27
AL2,Y0,28
