carrier,class,rrd,avg_business,avg_leisure
AL1,Y0,63,0,0
AL1,Y0,56,3.36,0
AL1,Y0,49,6.14,0
AL1,Y0,42,8.37,0
AL1,Y0,35,11.15,0
AL1,Y0,31,12.85,0
AL1,Y0,28,14.03,0
AL1,Y0,24,15.71,0
AL1,Y0,21,17.39,0
AL1,Y0,17,19.68,0
AL1,Y0,14,22.46,0
AL1,Y0,10,27.9,0
AL1,Y0,7,34.48,0
AL1,Y0,5,38.89,0
AL1,Y0,3,43.26,0.01
AL1,Y0,1,51.9,0.02
AL1,Y0,0,53.94,0.02
AL1,Y1,63,0,0
AL1,Y1,56,3.07,0
AL1,Y1,49,5.66,0
AL1,Y1,42,7.77,0
AL1,Y1,35,10.36,0
AL1,Y1,31,11.95,0
AL1,Y1,28,13.04,0
AL1,Y1,24,14.62,0
AL1,Y1,21,16.22,0
AL1,Y1,17,18.32,0.01
AL1,Y1,14,20.9,0.02
AL1,Y1,10,25.96,0.05
AL1,Y1,7,32.1,0.09
AL1,Y1,5,36.22,0.15
AL1,Y1,3,40.1,0.32
AL1,Y1,1,48.28,0.82
AL1,Y1,0,50.39,1.11
AL1,Y2,63,0,0
AL1,Y2,56,1.75,0
AL1,Y2,49,3.19,0
AL1,Y2,42,4.35,0
AL1,Y2,35,5.79,0
AL1,Y2,31,6.68,0
AL1,Y2,28,7.29,0
AL1,Y2,24,8.21,0.02
AL1,Y2,21,9.14,0.13
AL1,Y2,17,10.36,0.33
AL1,Y2,14,11.91,0.61
AL1,Y2,10,15.3,1.13
AL1,Y2,7,19.18,1.45
AL1,Y2,5,21.84,2.43
AL1,Y2,3,24.27,4.59
AL1,Y2,1,24.27,4.59
AL1,Y2,0,24.27,4.59
AL1,Y3,63,0,0
AL1,Y3,56,0.21,0.17
AL1,Y3,49,0.38,0.25
AL1,Y3,42,0.52,0.35
AL1,Y3,35,0.69,0.46
AL1,Y3,31,0.8,0.55
AL1,Y3,28,0.88,0.66
AL1,Y3,24,0.99,1.15
AL1,Y3,21,1.09,2.3
AL1,Y3,17,1.23,3.68
AL1,Y3,14,1.4,4.96
AL1,Y3,10,1.73,9.06
AL1,Y3,7,2.1,11.49
AL1,Y3,5,2.1,11.49
AL1,Y3,3,2.1,11.49
AL1,Y3,1,2.1,11.49
AL1,Y3,0,2.1,11.49
AL1,Y4,63,0,0
AL1,Y4,56,0.46,22.11
AL1,Y4,49,0.84,32.55
AL1,Y4,42,1.15,44.45
AL1,Y4,35,1.52,56.37
AL1,Y4,31,1.75,64.38
AL1,Y4,28,1.92,69.72
AL1,Y4,24,2.14,79.84
AL1,Y4,21,2.33,89
AL1,Y4,17,2.54,95.38
AL1,Y4,14,2.76,100.06
AL1,Y4,10,2.76,100.06
AL1,Y4,7,2.76,100.06
AL1,Y4,5,2.76,100.06
AL1,Y4,3,2.76,100.06
AL1,Y4,1,2.76,100.06
AL1,Y4,0,2.76,100.06
AL1,Y5,63,0,0
AL1,Y5,56,0,9.87
AL1,Y5,49,0,14.33
AL1,Y5,42,0,18.97
AL1,Y5,35,0,23.28
AL1,Y5,31,0,26.02
AL1,Y5,28,0,27.76
AL1,Y5,24,0,30.9
AL1,Y5,21,0,33.75
AL1,Y5,17,0,33.75
AL1,Y5,14,0,33.75
AL1,Y5,10,0,33.75
AL1,Y5,7,0,33.75
AL1,Y5,5,0,33.75
AL1,Y5,3,0,33.75
AL1,Y5,1,0,33.75
AL1,Y5,0,0,33.75
