carrier,booking_class,avg_sold
AL1,Y5,40
AL1,Y4,111
AL1,Y3,14
AL1,Y2,31
AL1,Y1,52
AL1,Y0,53
AL2,Y5,40
AL2,Y4,111
AL2,Y3,14
AL2,Y2,31
AL2,Y1,52
AL2,Y0,53
